resource_id,X,Y,norm_X,norm_Y
Notes_MAS.pdf,441.3008845834085,139.01040649414065,29.42882254600032,1.8506618036287972
Notes_Social Learning in Networks - L2.pdf,417.52617876862723,497.6375732421874,26.069923711240932,8.55397333162967
Social Economic Networks_SEN4.pdf,415.07633936395933,184.58557128906253,25.723809534864014,2.7025340427862155
Notes_Social Learning in Networks - L1.pdf,417.5267875251144,385.17407226562506,26.070009716572454,6.451851818049066
Social Economic Networks_SEN7.pdf,415.3916319511152,189.5157623291018,25.76835418293901,2.7946871463383514
Networks Crowd and Markets_NCMch20.pdf,415.6996836506681,209.65467834472648,25.811875835855975,3.1711154830789994
Networks Crowd and Markets_NCMch12.pdf,416.5502286328876,201.4057464599608,25.932041131357185,3.016929840373099
Networks Crowd and Markets_NCMch22.pdf,416.5588596726202,188.90609741210932,25.9332605276991,2.7832915404132583
Networks Crowd and Markets_NCMch5.pdf,417.8193604276271,129.67520141601562,26.111344519576456,1.6761719890844042
Networks Crowd and Markets_NCMch11.pdf,418.5144615254886,198.75210571289048,26.209548648192655,2.9673290787456166
Networks Crowd and Markets_NCMch9.pdf,419.1224307391653,237.77262878417955,26.295442753436156,3.6966846501715804
Networks Crowd and Markets_NCMch10.pdf,419.6425215400465,114.25907897949214,26.368921365481185,1.3880201678409747
Rational Herds_RHEMch14.pdf,420.79957664166585,288.5144958496092,26.532390518910848,4.645130763544097
Rational Herds_RHEMch8.pdf,421.26298723041424,248.93751525878918,26.59786133056625,3.9053741169867138
Social Economic Networks_SEN8.pdf,424.1180816659243,197.94879150390622,27.00123008083699,2.9523138598860976
Network Analysis_LNch13.pdf,447.20412813398997,257.72967529296875,30.2628348798573,4.069713556877921
Social Economic Networks_SEN2.pdf,447.1825207284873,286.9760131835934,30.25978217797613,4.616374078198008
Network Analysis_LNch5.pdf,447.1237910962793,185.49087524414065,30.25148483479443,2.7194556120400124
Notes_CGT BASED network CENTRALITY - L2.pdf,447.1040053104851,574.7796020507815,30.248689491989065,9.995880412164139
